country;ISO3;region;african_union;arab_states;BRICS;EU;G20;OECD;CPI_score_2017;standard_error_2017;lower_CI_2017;upper_CI_2017;number_sources_2017;CPI_score_2012;standard_error_2012;number_sources_2012;CPI_score_2013;standard_error_2013;number_sources_2013;CPI_score_2014;standard_error_2014;number_sources_2014;CPI_score_2015;standard_error_2015;number_sources_2015;CPI_score_2016;standard_error_2016;number_sources_2016;world_bank_CPIA;world_economic_forum_EOS;global_insight_country_risk_ratings;bertelsmann_foundation_transformation_index;african_development_bank_CPIA;IMD_world_competitiveness_yearbook;bertelsmann_foundation_sustainable_governance_index;world_justice_project_rule_of_law_index;PRS_international_country_risk_guide;varieties_of_democracy_project;economist_intelligence_unit_country_ratings;freedom_house_nations_in_transit_ratings;PERC_asia_risk_guide
New Zealand;NZL;AP;0;0;0;0;0;1;89;2.4;85;93;8;90;2.2;7;91;2.3;7;91;2.2799999714;7;91;2.3199999332;7;90;2.56;7;0;92;83;0;0;93;97;82;93;77;90;0;0
Denmark;DNK;WE/EU;0;0;0;1;0;1;88;2.75;83;93;8;90;2;7;91;2.2;7;92;2.0399999619;7;91;2.1600000858;7;90;2.46;7;0;80;83;0;0;99;97;88;93;77;90;0;0
Finland;FIN;WE/EU;0;0;0;1;0;1;85;2.84;80;90;8;90;3;7;89;1.7;7;89;2.0499999523;7;90;1.7699999809;7;89;1.46;7;0;92;83;0;0;92;88;86;93;75;72;0;0
Norway;NOR;WE/EU;0;0;0;0;0;1;85;1.83;82;88;8;85;1.6;7;86;2.3;7;86;2.3800001144;7;88;2.2400000095;7;85;1.85;7;0;86;83;0;0;85;79;86;93;77;90;0;0
Switzerland;CHE;WE/EU;0;0;0;0;0;1;85;1.71;82;88;7;86;2.6;6;85;2.5;6;86;2.6099998951;6;86;2.5499999523;6;86;1.57;6;0;85;83;0;0;89;88;0;85;77;90;0;0
Singapore;SGP;AP;0;0;0;0;0;0;84;2.26;80;88;9;87;2.1;9;86;2.3;9;84;1.75;8;85;2.0199999809;8;84;2.35;8;0;90;83;73;0;90;0;85;79;77;90;0;92
Sweden;SWE;WE/EU;0;0;0;1;0;1;84;2.27;80;88;8;88;1.9;7;89;2.3;7;87;3.4100000858;7;89;1.7100000381;7;88;1.33;7;0;74;83;0;0;84;88;86;93;77;90;0;0
Canada;CAN;AME;0;0;0;0;1;1;82;1.49;80;84;8;84;2.2;7;81;2.4;7;81;2.4500000477;7;83;1.6299999952;7;82;2.03;7;0;80;83;0;0;86;79;80;85;77;90;0;0
Luxembourg;LUX;WE/EU;0;0;0;1;0;1;82;2.08;79;85;6;80;2.8;6;80;2.9;6;82;2.7799999714;6;85;1.6000000238;5;81;1.96;6;0;86;83;0;0;84;79;0;85;0;72;0;0
Netherlands;NLD;WE/EU;0;0;0;1;0;1;82;2.23;78;86;8;84;2;7;83;2;7;83;1.9700000286;7;84;1.9800000191;7;83;2.32;7;0;84;83;0;0;89;70;80;85;77;90;0;0
United Kingdom;GBR;WE/EU;0;0;0;1;1;1;82;1.7;79;85;8;74;1.3;8;76;1.3;8;78;2.0899999142;7;81;2.4000000954;7;81;2.12;7;0;80;83;0;0;83;79;81;85;73;90;0;0
Germany;DEU;WE/EU;0;0;0;1;1;1;81;1.87;78;84;8;79;2.3;8;78;2.4;8;79;2.5799999237;7;81;2.5;7;81;2.73;7;0;74;83;0;0;85;79;78;85;76;90;0;0
Australia;AUS;AP;0;0;0;0;1;1;77;1.4;75;79;9;85;1.1;8;81;1.5;8;80;1.3099999428;8;79;1.5;8;79;1.27;8;0;82;71;0;0;81;79;78;76;75;72;0;83
Hong Kong;HKG;AP;0;0;0;0;0;0;77;2.37;73;81;7;77;1.9;8;75;2.4;8;74;2.75;7;75;2.4800000191;7;77;2.62;7;0;83;83;0;0;83;0;72;70;0;72;0;71
Iceland;ISL;WE/EU;0;0;0;0;0;1;77;4.38;70;84;7;82;4.1;6;78;2.8;6;79;3.1600000858;6;79;4.5300002098;5;78;3.81;6;0;83;83;0;0;84;53;0;85;77;72;0;0
Austria;AUT;WE/EU;0;0;0;1;0;1;75;1.17;73;77;8;69;2.4;8;69;3.2;8;72;3.4900000095;7;76;1.7599999905;7;75;1.36;7;0;72;71;0;0;75;79;80;76;74;72;0;0
Belgium;BEL;WE/EU;0;0;0;1;0;1;75;1.63;72;78;8;75;2.4;7;75;2.3;7;76;2.2599999905;7;77;1.3400000334;7;77;1.55;7;0;68;83;0;0;75;79;74;76;76;72;0;0
United States of America;USA;AME;0;0;0;0;1;1;75;3.24;70;80;9;73;4.1;9;73;4;9;74;3.7400000095;8;76;3.4700000286;8;74;3.15;9;0;71;71;0;0;75;88;73;76;74;90;0;57
Ireland;IRL;WE/EU;0;0;0;1;0;1;74;3.68;68;80;7;69;3.5;6;72;4.2;6;74;4.75;6;75;4.9200000763;6;73;4.31;6;0;79;71;0;0;85;79;0;76;72;55;0;0
Japan;JPN;AP;0;0;0;0;1;1;73;2.66;69;77;9;74;2.3;9;74;2.4;9;76;3.1600000858;8;75;2.9600000381;8;72;3.02;8;0;78;71;0;0;76;53;78;76;72;72;0;79
Estonia;EST;WE/EU;0;0;0;1;0;1;71;2.21;67;75;10;64;3;8;68;2.7;9;69;2.8900001049;9;70;2.7899999619;9;70;2.16;10;0;71;71;77;0;65;79;73;67;75;55;74;0
United Arab Emirates;ARE;MENA;0;1;0;0;0;0;71;6.26;61;81;7;68;4.3;7;69;4.7;7;70;5.1399998665;7;70;5.0700001717;7;66;5.7;7;0;95;47;57;0;87;0;72;67;0;72;0;0
France;FRA;WE/EU;0;0;0;1;1;1;70;1.36;68;72;8;71;2.4;8;71;2.4;8;69;2.1700000763;7;70;2.4900000095;7;69;2.97;7;0;69;71;0;0;73;62;70;73;73;72;0;0
Uruguay;URY;AME;0;0;0;0;0;0;70;2.67;66;74;7;72;1.5;6;73;1.4;6;73;1.4099999666;6;74;1.6799999475;6;71;2.68;6;0;61;59;77;0;0;0;70;76;74;72;0;0
Barbados;BRB;AME;0;0;0;0;0;0;68;3.24;63;73;3;76;6.7;3;75;7.1;3;74;8.0900001526;3;0;0;0;61;6.91;3;0;0;71;0;0;0;0;62;0;72;0;0;0
Bhutan;BTN;AP;0;0;0;0;0;0;67;1.83;64;70;5;63;3.6;3;63;2.6;4;65;1.8099999428;4;65;2.1400001049;4;65;2.12;5;60;67;71;69;0;0;0;0;0;67;0;0;0
Chile;CHL;AME;0;0;0;0;0;1;67;2.03;64;70;9;72;2.1;9;71;1.8;9;73;1.7400000095;8;70;2.1500000954;8;66;2.65;8;0;66;59;77;0;61;62;63;73;67;72;0;0
Bahamas;BHS;AME;0;0;0;0;0;0;65;5.39;56;74;3;71;1;3;71;1;3;71;0.9900000095;3;0;0;0;66;5.2;3;0;0;59;0;0;0;0;61;76;0;0;0;0
Portugal;PRT;WE/EU;0;0;0;1;0;1;63;2.56;59;67;8;63;2.5;7;62;3;7;63;3.3599998951;7;64;2.5;7;62;2.58;8;0;60;59;0;0;51;70;70;67;68;55;0;0
Qatar;QAT;MENA;0;1;0;0;0;0;63;7.5;51;75;7;68;6.4;6;68;7.2;6;69;7.2100000381;6;71;6.6300001144;6;61;7.02;7;0;94;47;41;0;78;0;0;64;44;72;0;0
Taiwan;TWN;AP;0;0;0;0;0;0;63;3.28;58;68;8;61;3.9;7;61;4.3;7;61;4.1700000763;7;62;3.7799999714;7;61;3.79;8;0;71;71;77;0;64;0;0;53;56;55;0;55
Brunei Darussalam;BRN;AP;0;0;0;0;0;0;62;8.72;48;76;3;55;9.1;3;60;10.4;3;0;0;0;0;0;0;58;8.85;3;0;69;71;0;0;0;0;0;44;0;0;0;0
Israel;ISR;MENA;0;0;0;0;0;1;62;2.19;58;66;7;60;2.9;5;61;1.6;6;60;2.3399999142;6;61;2.7799999714;6;64;2.27;6;0;70;59;0;0;60;62;0;59;69;55;0;0
Botswana;BWA;SSA;1;0;0;0;0;0;61;2.74;57;65;7;65;1.9;7;64;1.6;7;63;1.9299999475;6;63;2.3499999046;6;60;3.1;6;0;50;59;61;0;0;0;55;64;67;72;0;0
Slovenia;SVN;WE/EU;0;0;0;1;0;1;61;2.78;56;66;10;61;3.9;8;57;3.6;9;58;3.0299999714;9;60;2.9300000668;9;61;2.44;10;0;50;71;69;0;48;62;56;59;63;55;74;0
Poland;POL;WE/EU;0;0;0;1;0;1;60;1.36;58;62;10;58;2;10;60;2.3;10;61;2.7000000477;9;63;2.5899999142;9;62;1.77;10;0;52;59;65;0;60;62;63;56;64;55;62;0
Seychelles;SYC;SSA;1;0;0;0;0;0;60;8.32;46;74;4;52;8;4;54;8.2;4;55;8.6199998856;3;55;8.5;3;0;0;0;0;36;71;0;0;0;0;0;0;62;72;0;0
Costa Rica;CRI;AME;0;0;0;0;0;0;59;2.98;54;64;7;54;7;5;53;4.1;5;54;4.0700001717;5;55;2.7100000381;6;58;3.17;7;0;48;59;69;0;0;0;64;53;68;55;0;0
Lithuania;LTU;WE/EU;0;0;0;1;0;0;59;2.21;55;63;9;54;5.3;7;57;3.8;8;58;3.8499999046;8;59;1.9199999571;8;59;1.36;9;0;52;59;69;0;48;62;0;59;67;55;62;0
Latvia;LVA;WE/EU;0;0;0;1;0;1;58;3.21;53;63;9;49;4;6;53;3.6;8;55;3.3499999046;8;56;2.7599999905;8;57;2.96;9;0;42;59;57;0;48;70;0;53;67;55;68;0
Saint Vincent and the Grenadines;VCT;AME;0;0;0;0;0;0;58;3.39;52;64;3;62;5.6;3;62;5.6;3;62;5.5900001526;3;0;0;0;60;1.66;3;52;0;59;0;0;0;0;63;0;0;0;0;0
Cyprus;CYP;WE/EU;0;0;0;1;0;0;57;3.78;51;63;7;66;2.4;4;63;3.9;5;63;3.9200000763;5;61;4.1700000763;5;55;5.94;5;0;58;47;0;0;54;44;0;64;62;72;0;0
Czech Republic;CZE;WE/EU;0;0;0;1;0;1;57;1.98;54;60;10;49;2.9;10;48;3;10;51;2.9400000572;9;56;2.2100000381;9;55;2.24;9;0;48;59;65;0;49;62;61;50;61;55;62;0
Dominica;DMA;AME;0;0;0;0;0;0;57;2.55;53;61;3;58;2.3;3;58;2.3;3;58;2.3399999142;3;0;0;0;59;0.85;3;52;0;59;0;0;0;0;60;0;0;0;0;0
Spain;ESP;WE/EU;0;0;0;1;0;1;57;3.78;51;63;8;65;2.9;7;59;4.9;7;60;3.75;7;58;4.0700001717;7;58;4.09;7;0;44;59;0;0;41;62;67;59;73;55;0;0
Georgia;GEO;ECA;0;0;0;0;0;0;56;3.1;51;61;6;52;6;6;49;6.9;6;52;6.4699997902;6;52;6.5300002098;5;57;3.61;6;0;59;47;53;0;0;0;63;0;67;0;50;0
Malta;MLT;WE/EU;0;0;0;1;0;0;56;1.18;54;58;5;57;2.4;4;56;2.4;5;55;2.6300001144;5;60;1.3200000525;4;55;1.39;5;0;56;59;0;0;0;53;0;59;0;55;0;0
Cabo Verde;CPV;SSA;1;0;0;0;0;0;55;4.19;48;62;4;60;3.8;4;58;4.8;4;57;5.9400000572;4;55;6.1599998474;4;59;5.72;3;52;45;59;0;0;0;0;0;0;64;0;0;0
Rwanda;RWA;SSA;1;0;0;0;0;0;55;6;45;65;6;53;6.3;5;53;5.7;5;49;3.2300000191;4;54;6.4200000763;5;54;5.07;6;43;83;59;45;49;0;0;0;0;51;0;0;0
Saint Lucia;LCA;AME;0;0;0;0;0;0;55;4.27;48;62;3;71;0.8;3;71;0.8;3;71;0.8399999738;3;0;0;0;60;6.8;3;60;0;47;0;0;0;0;59;0;0;0;0;0
Korea, South;KOR;AP;0;0;0;0;1;1;54;2.24;50;58;10;56;2.4;10;55;2.4;10;55;2.6400001049;9;54;2.2899999619;9;53;2.33;9;0;55;59;53;0;46;53;69;50;60;55;0;45
Grenada;GRD;AME;0;0;0;0;0;0;52;3;47;57;3;0;0;0;0;0;0;0;0;0;0;0;0;56;4.63;3;52;0;47;0;0;0;0;57;0;0;0;0;0
Namibia;NAM;SSA;1;0;0;0;0;0;51;3.22;46;56;6;48;3.5;6;48;3.4;6;49;4;5;53;2.75;5;52;2.03;5;0;44;59;41;0;0;0;0;50;60;55;0;0
Italy;ITA;WE/EU;0;0;0;1;1;1;50;3.72;44;56;8;42;2.4;7;43;2.5;7;43;2.2599999905;7;44;2.5;7;47;3.34;7;0;44;59;0;0;38;62;57;44;62;37;0;0
Mauritius;MUS;SSA;1;0;0;0;0;0;50;4.41;43;57;5;57;3.5;5;52;1.1;5;54;2.3900001049;4;53;1.4900000095;4;54;2.14;4;0;53;59;49;0;0;0;0;0;33;55;0;0
Slovakia;SVK;WE/EU;0;0;0;1;0;1;50;3.32;45;55;9;46;4.3;8;47;4.7;8;50;4.0700001717;8;51;3.6300001144;8;51;3.09;8;0;32;59;57;0;35;53;0;50;51;55;59;0
Croatia;HRV;WE/EU;0;0;0;1;0;0;49;2.64;45;53;10;46;3.1;8;48;3.3;9;48;3.25;9;51;2.0199999809;9;49;2.39;9;0;34;47;57;0;33;53;52;50;52;55;53;0
Saudi Arabia;SAU;MENA;0;1;0;0;1;0;49;6.14;39;59;7;44;6.4;5;46;6.7;5;49;6.6900000572;5;52;7.0300002098;5;46;7.54;5;0;71;22;37;0;62;0;0;50;44;55;0;0
Greece;GRC;WE/EU;0;0;0;1;0;1;48;2.98;43;53;8;36;3.6;7;40;4.5;7;43;5.5599999428;7;46;5.0799999237;7;44;2.5;7;0;41;59;0;0;44;53;50;41;59;37;0;0
Jordan;JOR;MENA;0;1;0;0;0;0;48;2.99;43;53;8;48;3.1;7;45;2.4;7;49;2.8699998856;7;53;3;7;48;3.03;8;0;60;35;41;0;53;0;49;50;41;55;0;0
Romania;ROU;WE/EU;0;0;0;1;0;0;48;3.12;43;53;10;44;3.7;8;43;3;9;43;3.5999999046;9;46;3.1099998951;9;48;3;10;0;43;47;65;0;32;53;51;41;49;37;59;0
Cuba;CUB;AME;0;0;0;0;0;0;47;2.36;43;51;5;48;4.1;4;46;4.5;4;46;4.4600000381;4;47;3.6400001049;4;47;2.9;5;0;0;47;41;0;0;0;0;44;49;55;0;0
Malaysia;MYS;AP;0;0;0;0;0;0;47;2.67;43;51;9;49;3.4;9;50;3.4;9;52;2.8800001144;8;50;3;8;49;2.46;8;0;63;47;37;0;48;0;45;41;43;55;0;42
Montenegro;MNE;ECA;0;0;0;0;0;0;46;2.45;42;50;5;41;4.5;4;44;2.2;4;42;4.25;4;44;4.8699998856;4;45;2.89;4;0;47;47;53;0;0;0;0;0;38;0;47;0
Sao Tome and Principe;STP;SSA;1;0;0;0;0;0;46;5.21;37;55;4;42;5;3;42;5;3;42;5.0500001907;3;42;5;3;46;0.93;3;43;0;47;0;34;0;0;0;0;59;0;0;0
Hungary;HUN;WE/EU;0;0;0;1;0;1;45;2.89;40;50;10;55;3.5;10;54;3.6;10;54;3.4500000477;9;51;3.7300000191;9;48;2.89;9;0;35;59;45;0;33;35;39;50;51;55;50;0
Senegal;SEN;SSA;1;0;0;0;0;0;45;2.52;41;49;9;36;1.8;9;41;1.5;9;43;2.2799999714;8;44;2.6099998951;8;45;2.63;8;43;39;47;45;42;0;0;42;32;57;55;0;0
Belarus;BLR;ECA;0;0;0;0;0;0;44;4.12;37;51;7;31;3.6;5;29;4;5;31;4.0399999619;5;32;4.3699998856;6;40;3.93;7;0;0;47;37;0;0;0;57;32;49;55;30;0
Jamaica;JAM;AME;0;0;0;0;0;0;44;3.96;37;51;7;38;2.2;6;38;1.8;6;38;1.7999999523;6;41;1.6799999475;6;39;1.84;6;0;43;35;37;0;0;0;51;41;64;37;0;0
Oman;OMN;MENA;0;1;0;0;0;0;44;7;33;55;5;47;7.6;5;47;7.8;5;45;6.5500001907;5;45;6.6900000572;5;45;7.07;5;0;0;47;21;0;0;0;0;50;63;37;0;0
Bulgaria;BGR;WE/EU;0;0;0;1;0;0;43;2.66;39;47;10;41;3.8;8;41;3.3;9;43;2.8199999332;9;41;2.4300000668;9;41;2.2;9;0;31;35;53;0;36;44;36;50;51;37;53;0
South Africa;ZAF;SSA;1;0;1;0;1;0;43;3.98;36;50;8;43;2.5;9;42;2.8;9;44;2.4100000858;7;44;2.6099998951;7;45;2.55;7;0;26;47;45;0;29;0;45;41;59;55;0;0
Vanuatu;VUT;AP;0;0;0;0;0;0;43;3.93;37;49;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;47;0;0;0;0;0;0;47;0;0;0
Burkina Faso;BFA;SSA;1;0;0;0;0;0;42;2.18;38;46;7;38;4.4;7;38;3.9;7;38;2.6700000763;7;38;2.9700000286;7;42;2.47;7;43;0;47;33;44;0;0;37;41;50;0;0;0
Lesotho;LSO;SSA;1;0;0;0;0;0;42;4.08;35;49;6;45;4.6;5;49;3.6;5;49;3.5499999523;5;44;4.9899997711;5;39;6.15;5;35;32;59;41;37;0;0;0;0;48;0;0;0
Tunisia;TUN;MENA;1;1;0;0;0;0;42;3.73;36;48;7;41;2.8;7;41;1.9;7;40;1.7200000286;6;38;2.1700000763;6;41;3.9;7;0;45;47;29;0;0;0;36;41;60;37;0;0
China;CHN;AP;0;0;1;0;1;0;41;1.96;38;44;9;39;2.9;9;40;2.9;9;36;2.1700000763;8;37;2.3399999142;8;40;2.39;8;0;52;47;37;0;44;0;39;32;40;37;0;43
Serbia;SRB;ECA;0;0;0;0;0;0;41;2.8;36;46;8;39;2.6;7;42;3.4;7;41;2.9200000763;7;40;3.9000000954;7;42;3.69;7;0;39;47;49;0;0;0;34;32;34;37;53;0
Suriname;SUR;AME;0;0;0;0;0;0;41;4.08;34;48;4;37;3.2;3;36;3.2;3;36;3.25;3;36;3.2100000381;3;45;7.53;4;0;0;35;0;0;0;0;47;33;49;0;0;0
Trinidad and Tobago;TTO;AME;0;0;0;0;0;0;41;5.47;32;50;6;39;4.5;4;38;5.1;4;38;4.8200001717;4;39;4.6399998665;4;35;2.48;5;0;36;35;0;0;0;0;38;32;68;37;0;0
Ghana;GHA;SSA;1;0;0;0;0;0;40;2.56;36;44;9;45;3.8;9;46;3.3;9;48;3.0099999905;8;47;2.8199999332;8;43;2.89;9;35;35;35;41;47;0;0;36;47;33;55;0;0
India;IND;AP;0;0;1;0;1;0;40;2.16;36;44;9;36;2.1;10;36;2.2;10;38;2.2699999809;9;38;3.1400001049;8;40;2.47;8;0;54;35;45;0;35;0;36;41;35;37;0;40
Morocco;MAR;MENA;1;1;0;0;0;0;40;2.6;36;44;7;37;3.2;8;37;2.9;8;39;3.5699999332;6;36;3.8499999046;6;37;1.74;7;0;45;35;29;0;0;0;45;48;39;37;0;0
Turkey;TUR;ECA;0;0;0;0;1;1;40;1.8;37;43;8;49;2.1;9;50;2.4;9;45;2.6900000572;8;42;2.0199999809;8;41;1.8;9;0;0;47;41;0;47;35;41;41;33;37;0;0
Argentina;ARG;AME;0;0;0;0;1;0;39;2.92;34;44;8;35;2.6;8;34;2.4;8;34;2.4200000763;7;32;1.8400000334;7;36;1.76;8;0;29;35;53;0;36;0;48;32;45;37;0;0
Benin;BEN;SSA;1;0;0;0;0;0;39;4.17;32;46;6;36;4.3;6;36;3.4;6;39;4.3800001144;4;37;4.4299998283;5;36;3.8;6;43;26;35;33;44;0;0;0;0;54;0;0;0
Kosovo;KSV;ECA;0;0;0;0;0;0;39;2.13;36;42;5;34;1.5;3;33;2.3;3;33;2.3299999237;3;33;2.1900000572;3;36;3.17;5;35;0;47;37;0;0;0;0;0;39;0;36;0
